;Unnamed: 0;CustomerID;Gender;Married;Age;Graduated;Profession;WorkExperience;SpendingScore;FamilySize;Category;cluster;Age_Arrival;Age_Arrival_Text
0;0;462809;Male;No;22;No;Healthcare;1.0;Low;4.0;Category 4;1;20-24;Young Adult
1;1;462643;Female;Yes;38;Yes;Engineer;1.0;Average;3.0;Category 4;3;35-39;Middle Aged
2;2;466315;Female;Yes;67;Yes;Engineer;1.0;Low;1.0;Category 6;3;65-69;Old
3;3;461735;Male;Yes;67;Yes;Lawyer;0.0;High;2.0;Category 6;3;65-69;Old
4;4;462669;Female;Yes;40;Yes;Entertainment;1.0;High;6.0;Category 6;3;40-44;Middle Aged
5;5;461319;Male;Yes;56;No;Artist;0.0;Average;2.0;Category 6;3;55-59;Middle Aged
6;6;460156;Male;No;32;Yes;Healthcare;1.0;Low;3.0;Category 6;2;30-34;Young Adult or Middle Aged
7;7;464347;Female;No;33;Yes;Healthcare;1.0;Low;3.0;Category 6;2;30-34;Young Adult or Middle Aged
8;8;465015;Female;Yes;61;Yes;Engineer;0.0;Low;3.0;Category 7;3;60-64;Old
9;9;465176;Female;Yes;55;Yes;Artist;1.0;Average;4.0;Category 6;3;55-59;Middle Aged
10;10;464041;Female;No;26;Yes;Engineer;1.0;Low;3.0;Category 6;2;25-29;Young Adult
11;11;464942;Male;No;19;No;Healthcare;4.0;Low;4.0;Category 4;1;15-19;Youth or Young Adult
12;12;461230;Female;No;19;No;Executive;0.0;Low;2.0;Category 3;1;15-19;Youth or Young Adult
13;13;459573;Male;Yes;70;No;Lawyer;1.0;Low;1.0;Category 6;3;70-74;Old
14;14;460849;Female;Yes;58;No;Doctor;0.0;Low;1.0;Category 3;3;55-59;Middle Aged
15;15;460563;Female;No;41;No;Healthcare;1.0;Low;2.0;Category 1;1;40-44;Middle Aged
16;16;466865;Female;No;32;No;Homemaker;9.0;Low;5.0;Category 3;1;30-34;Young Adult or Middle Aged
17;17;461644;Male;No;31;No;Healthcare;1.0;Low;6.0;Category 6;1;30-34;Young Adult or Middle Aged
18;18;466772;Male;Yes;58;Yes;Entertainment;1.0;Average;4.0;Category 6;3;55-59;Middle Aged
19;19;464291;Female;Yes;79;Yes;Artist;0.0;High;1.0;Category 6;3;75-79;Old
20;20;466084;Male;Yes;49;Yes;Homemaker;12.0;Low;1.0;Category 3;3;45-49;Middle Aged
21;21;459675;Female;No;18;No;Healthcare;3.0;Low;4.0;Category 6;1;15-19;Youth or Young Adult
22;22;465602;Male;Yes;33;Yes;Artist;13.0;Low;2.0;Category 3;3;30-34;Young Adult or Middle Aged
23;23;459168;Female;No;36;Yes;Artist;5.0;Low;2.0;Category 6;2;35-39;Middle Aged
24;24;461021;Female;Yes;58;No;Executive;1.0;Average;3.0;Category 3;3;55-59;Middle Aged
25;25;465083;Male;Yes;56;No;Artist;1.0;Average;3.0;Category 6;3;55-59;Middle Aged
26;26;467604;Male;No;31;No;Healthcare;9.0;Low;8.0;Category 4;1;30-34;Young Adult or Middle Aged
27;27;459717;Male;Yes;49;Yes;Artist;1.0;Average;3.0;Category 6;3;45-49;Middle Aged
